Qvsn,Q(V)_100,Q(V)_10
1.0222735,1.017552538,1.025826498
1.0222424,1.017657652,1.02590824
1.0222085,1.017763243,1.025992124
1.0222721,1.017868602,1.026077018
1.0222446,1.017973019,1.026161785
1.0222025,1.018075785,1.026245292
1.022239,1.018176189,1.026326405
1.0222609,1.018273521,1.026403998
1.0221949,1.018367308,1.026477571
1.0222036,1.018458028,1.026547592
1.0221426,1.018546396,1.026614617
1.0219623,1.018633127,1.026679198
1.0217947,1.018718936,1.02674189
1.0215142,1.018804538,1.026803248
1.0213867,1.018890646,1.026863824
1.0212406,1.018977696,1.02692412
1.021204,1.019065542,1.026984549
1.0210277,1.019153961,1.027045514
1.020965,1.01924273,1.027107419
1.0208234,1.019331628,1.027170666
1.0208101,1.019420432,1.027235659
1.0206647,1.019508917,1.027302784
1.0206341,1.019596761,1.027371909
1.0205894,1.019683536,1.027442307
1.0204661,1.019768813,1.027513219
1.0204307,1.019852159,1.027583883
1.0203389,1.019933144,1.027653541
1.0202256,1.020011336,1.027721432
1.0201771,1.020086395,1.027786847
1.0200747,1.020158921,1.0278498
1.0200189,1.020230065,1.027910828
1.019876,1.020300987,1.027970479
1.0198022,1.020372844,1.028029305
1.0185009,1.020446795,1.028087853
1.0196117,1.020523999,1.028146673
1.0195639,1.020605362,1.028206271
1.0195075,1.020690255,1.028266593
1.0193939,1.020777464,1.028327193
1.0193754,1.020865776,1.028387616
1.0192289,1.020953979,1.02844741
1.0191523,1.021040859,1.02850612
1.0190582,1.021125203,1.028563293
1.0189914,1.021206222,1.028618536
1.0188228,1.021284264,1.028671889
1.0188123,1.021359873,1.02872358
1.0186641,1.02143359,1.028773839
1.0185857,1.021505956,1.028822894
1.0185038,1.021577512,1.028870974
1.0183699,1.021648796,1.028918309
1.0182494,1.021719991,1.028965126
1.0181396,1.021790707,1.029011654
1.0180805,1.021860501,1.029058119
1.0180589,1.021928931,1.029104748
1.0179206,1.021995555,1.029151769
1.017926,1.022059931,1.029199408
1.0178221,1.022121629,1.029247892
1.0177083,1.022180838,1.029297341
1.0176033,1.022238671,1.029347321
1.0174773,1.022296309,1.029397228
1.0173101,1.022354936,1.029446455
1.0171561,1.022415736,1.029494396
1.0169734,1.022479893,1.029540447
1.0169179,1.022548538,1.029584001
1.0167716,1.022621575,1.029624767
1.0166506,1.022697635,1.029663512
1.0165262,1.022775294,1.029701222
1.0164,1.022853126,1.029738886
1.0162957,1.022929706,1.029777493
